Title,Actor1,Actor2,Actor3
1. The Shawshank Redemption,Frank Darabont,Stephen King,Frank Darabont
2. The Godfather,Francis Ford Coppola,Mario Puzo,Francis Ford Coppola
3. The Dark Knight,Christopher Nolan,Jonathan Nolan,Christopher Nolan
4. The Godfather Part II,Francis Ford Coppola,Francis Ford Coppola,Mario Puzo
5. 12 Angry Men,Sidney Lumet,Reginald Rose,Henry Fonda
6. The Lord of the Rings: The Return of the King,Peter Jackson,J.R.R. Tolkien,Fran Walsh
7. Schindler's List,Steven Spielberg,Thomas Keneally,Steven Zaillian
8. Pulp Fiction,Quentin Tarantino,Quentin Tarantino,Roger Avary
9. The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,J.R.R. Tolkien,Fran Walsh
"10. The Good, the Bad and the Ugly",Sergio Leone,Luciano Vincenzoni,Sergio Leone
11. Forrest Gump,Robert Zemeckis,Winston Groom,Eric Roth
12. The Lord of the Rings: The Two Towers,Peter Jackson,J.R.R. Tolkien,Fran Walsh
13. Fight Club,David Fincher,Chuck Palahniuk,Jim Uhls
14. Inception,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio
15. Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,Leigh Brackett,Lawrence Kasdan
16. The Matrix,Lana Wachowski,Lilly Wachowski,Lilly Wachowski
17. Goodfellas,Martin Scorsese,Nicholas Pileggi,Martin Scorsese
18. One Flew Over the Cuckoo's Nest,Milos Forman,Lawrence Hauben,Bo Goldman
19. Interstellar,Christopher Nolan,Jonathan Nolan,Christopher Nolan
20. Se7en,David Fincher,Andrew Kevin Walker,Morgan Freeman
21. It's a Wonderful Life,Frank Capra,Frances Goodrich,Albert Hackett
22. The Silence of the Lambs,Jonathan Demme,Thomas Harris,Ted Tally
23. Seven Samurai,Akira Kurosawa,Akira Kurosawa,Shinobu Hashimoto
24. Saving Private Ryan,Steven Spielberg,Robert Rodat,Tom Hanks
25. City of God,Fernando Meirelles,Kátia Lund,Bráulio Mantovani
26. The Green Mile,Frank Darabont,Stephen King,Frank Darabont
27. Life Is Beautiful,Roberto Benigni,Vincenzo Cerami,Roberto Benigni
28. Terminator 2: Judgment Day,James Cameron,James Cameron,William Wisher
29. Star Wars: Episode IV - A New Hope,George Lucas,George Lucas,Mark Hamill
30. Back to the Future,Robert Zemeckis,Robert Zemeckis,Bob Gale
31. Spirited Away,Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase
32. The Pianist,Roman Polanski,Ronald Harwood,Wladyslaw Szpilman
33. Gladiator,Ridley Scott,David Franzoni,John Logan
34. Parasite,Bong Joon Ho,Bong Joon Ho,Han Jin-won
35. Psycho,Alfred Hitchcock,Joseph Stefano,Robert Bloch
36. The Lion King,Roger Allers,Rob Minkoff,Irene Mecchi
37. Grave of the Fireflies,Isao Takahata,Akiyuki Nosaka,Isao Takahata
38. The Departed,Martin Scorsese,William Monahan,Alan Mak
39. Whiplash,Damien Chazelle,Damien Chazelle,Miles Teller
40. Harakiri,Masaki Kobayashi,Yasuhiko Takiguchi,Shinobu Hashimoto
41. American History X,Tony Kaye,David McKenna,Edward Norton
42. The Prestige,Christopher Nolan,Jonathan Nolan,Christopher Nolan
43. Léon: The Professional,Luc Besson,Luc Besson,Jean Reno
44. Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson
45. Casablanca,Michael Curtiz,Philip G. Epstein,Julius J. Epstein
46. The Usual Suspects,Bryan Singer,Christopher McQuarrie,Kevin Spacey
47. The Intouchables,Olivier Nakache,Éric Toledano,Olivier Nakache
48. Cinema Paradiso,Giuseppe Tornatore,Giuseppe Tornatore,Vanna Paoli
49. Modern Times,Charles Chaplin,Charles Chaplin,Charles Chaplin
50. Alien,Ridley Scott,Dan O'Bannon,Ronald Shusett
