Title,NumReviews
1. The Shawshank Redemption,3000000
2. The Godfather,2100000
3. The Dark Knight,3000000
4. The Godfather Part II,1400000
5. 12 Angry Men,920000
6. The Lord of the Rings: The Return of the King,2100000
7. Schindler's List,1500000
8. Pulp Fiction,2300000
9. The Lord of the Rings: The Fellowship of the Ring,2100000
"10. The Good, the Bad and the Ugly",849000
11. Forrest Gump,2400000
12. The Lord of the Rings: The Two Towers,1900000
13. Fight Club,2500000
14. Inception,2700000
15. Star Wars: Episode V - The Empire Strikes Back,1400000
16. The Matrix,2100000
17. Goodfellas,1300000
18. One Flew Over the Cuckoo's Nest,1100000
19. Interstellar,2300000
20. Se7en,1900000
21. It's a Wonderful Life,526000
22. The Silence of the Lambs,1600000
23. Seven Samurai,382000
24. Saving Private Ryan,1600000
25. City of God,834000
26. The Green Mile,1500000
27. Life Is Beautiful,775000
28. Terminator 2: Judgment Day,1200000
29. Star Wars: Episode IV - A New Hope,1500000
30. Back to the Future,1400000
31. Spirited Away,904000
32. The Pianist,964000
33. Gladiator,1700000
34. Parasite,1100000
35. Psycho,749000
36. The Lion King,1200000
37. Grave of the Fireflies,345000
38. The Departed,1500000
39. Whiplash,1100000
40. Harakiri,79000
41. American History X,1200000
42. The Prestige,1500000
43. Léon: The Professional,1300000
44. Spider-Man: Across the Spider-Verse,447000
45. Casablanca,629000
46. The Usual Suspects,1200000
47. The Intouchables,973000
48. Cinema Paradiso,300000
49. Modern Times,272000
50. Alien,1000000
51. Rear Window,544000
52. Once Upon a Time in the West,366000
53. Django Unchained,1800000
54. City Lights,206000
55. Apocalypse Now,739000
56. Dune: Part Two,620000
57. Memento,1400000
58. WALL·E,1300000
59. Raiders of the Lost Ark,1100000
60. The Lives of Others,426000
61. Avengers: Infinity War,1300000
62. Sunset Boulevard,248000
63. Spider-Man: Into the Spider-Verse,725000
64. Paths of Glory,225000
65. Witness for the Prosecution,149000
66. The Shining,1200000
67. The Great Dictator,248000
68. 12th Fail,145000
69. Aliens,806000
70. Inglourious Basterds,1700000
71. The Dark Knight Rises,1900000
72. Coco,645000
73. Amadeus,447000
74. Toy Story,1100000
75. Avengers: Endgame,1300000
76. Good Will Hunting,1100000
77. Oldboy,675000
78. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,536000
79. American Beauty,1200000
80. Das Boot,278000
81. Braveheart,1100000
82. Princess Mononoke,457000
83. Your Name.,353000
84. High and Low,59000
85. 3 Idiots,456000
86. Joker,1600000
87. Once Upon a Time in America,393000
88. Capernaum,115000
89. Singin' in the Rain,271000
90. Come and See,111000
91. Requiem for a Dream,935000
92. Toy Story 3,928000
93. Star Wars: Episode VI - Return of the Jedi,1200000
94. The Hunt,386000
95. Ikiru,96000
96. Eternal Sunshine of the Spotless Mind,1100000
97. 2001: A Space Odyssey,750000
98. Reservoir Dogs,1100000
99. The Apartment,208000
100. Incendies,225000
101. Lawrence of Arabia,328000
102. Scarface,960000
103. Double Indemnity,174000
104. North by Northwest,359000
105. Heat,752000
106. Citizen Kane,480000
107. Up,1200000
108. M,176000
109. Full Metal Jacket,819000
110. Vertigo,443000
111. Amélie,816000
112. A Separation,268000
113. A Clockwork Orange,909000
114. To Kill a Mockingbird,342000
115. Die Hard,987000
116. Like Stars on Earth,217000
117. The Sting,289000
118. Indiana Jones and the Last Crusade,836000
119. Oppenheimer,876000
120. Metropolis,193000
121. Snatch,943000
122. 1917,723000
123. L.A. Confidential,639000
124. Bicycle Thieves,184000
125. Downfall,387000
126. Dangal,224000
127. Taxi Driver,973000
128. Hamilton,126000
129. The Wolf of Wall Street,1700000
130. Batman Begins,1600000
131. Green Book,630000
132. For a Few Dollars More,287000
133. Judgment at Nuremberg,91000
134. The Truman Show,1300000
135. Some Like It Hot,294000
136. Shutter Island,1500000
137. The Kid,141000
138. The Father,211000
139. All About Eve,144000
140. There Will Be Blood,668000
141. Jurassic Park,1100000
142. Casino,589000
143. The Sixth Sense,1100000
144. Ran,143000
145. Top Gun: Maverick,767000
146. No Country for Old Men,1100000
147. The Thing,495000
148. Pan's Labyrinth,723000
149. Unforgiven,453000
150. A Beautiful Mind,1000000
151. Kill Bill: Vol. 1,1200000
152. The Treasure of the Sierra Madre,137000
153. Prisoners,866000
154. Yojimbo,137000
155. Finding Nemo,1200000
156. The Great Escape,267000
157. Howl's Moving Castle,480000
158. Monty Python and the Holy Grail,586000
159. The Elephant Man,272000
160. Dial M for Murder,197000
161. Gone with the Wind,345000
162. Rashomon,189000
163. Klaus,213000
164. Chinatown,364000
165. The Secret in Their Eyes,232000
"166. Lock, Stock and Two Smoking Barrels",633000
167. V for Vendetta,1200000
168. Inside Out,862000
"169. Three Billboards Outside Ebbing, Missouri",580000
170. The Wild Robot,158000
171. The Bridge on the River Kwai,241000
172. Trainspotting,747000
173. Catch Me If You Can,1200000
174. Raging Bull,394000
175. Fargo,753000
176. Warrior,513000
177. Harry Potter and the Deathly Hallows: Part 2,992000
178. Gran Torino,837000
179. Million Dollar Baby,744000
180. My Neighbor Totoro,405000
181. Mad Max: Fury Road,1200000
182. Spider-Man: No Way Home,944000
183. Ben-Hur,262000
184. Barry Lyndon,192000
185. Children of Heaven,85000
186. Dead Poets Society,587000
187. 12 Years a Slave,762000
188. Before Sunrise,357000
189. The Grand Budapest Hotel,923000
190. Blade Runner,851000
191. Hacksaw Ridge,633000
192. Gone Girl,1100000
193. Memories of Murder,238000
194. I'm Still Here,101000
195. In the Name of the Father,195000
196. Ratatouille,880000
"197. Monsters, Inc.",1000000
198. The Gold Rush,123000
199. Wild Tales,227000
200. How to Train Your Dragon,839000
201. Sherlock Jr.,61000
202. Jaws,691000
203. Mary and Max,195000
