Title,NumReviews
1. The Shawshank Redemption,3000000
2. The Godfather,2100000
3. The Dark Knight,3000000
4. The Godfather Part II,1400000
5. 12 Angry Men,920000
6. The Lord of the Rings: The Return of the King,2100000
7. Schindler's List,1500000
8. Pulp Fiction,2300000
9. The Lord of the Rings: The Fellowship of the Ring,2100000
"10. The Good, the Bad and the Ugly",849000
11. Forrest Gump,2400000
12. The Lord of the Rings: The Two Towers,1900000
13. Fight Club,2500000
14. Inception,2700000
15. Star Wars: Episode V - The Empire Strikes Back,1400000
16. The Matrix,2100000
17. Goodfellas,1300000
18. One Flew Over the Cuckoo's Nest,1100000
19. Interstellar,2300000
20. Se7en,1900000
21. It's a Wonderful Life,526000
22. The Silence of the Lambs,1600000
23. Seven Samurai,382000
24. Saving Private Ryan,1600000
25. City of God,834000
